"Name","ID","State","Runtime","N_sensors","T","steps","Best sensor location","E/Emin","E/acceptance probability","Statistics/accepted","Statistics/no_neighbors","Statistics/occupied","Statistics/rejected"
"ancient-sweep-38","g0m4s093","finished","69587","100","0.03","10000","{""_type"":""histogram"",""bins"":[0,9.6875,19.375,29.0625,38.75,48.4375,58.125,67.8125,77.5,87.1875,96.875,106.5625,116.25,125.9375,135.625,145.3125,155,164.6875,174.375,184.0625,193.75,203.4375,213.125,222.8125,232.5,242.1875,251.875,261.5625,271.25,280.9375,290.625,300.3125,310],""values"":[3,3,4,2,3,3,3,4,3,3,3,2,4,3,4,2,2,3,2,4,5,5,2,5,2,3,3,3,4,2,3,3]}","0.011793130077421663","1","6274","103","3616","7"
"zesty-sweep-37","9b60602c","finished","71158","100","0.02","10000","{""_type"":""histogram"",""bins"":[0,9.6875,19.375,29.0625,38.75,48.4375,58.125,67.8125,77.5,87.1875,96.875,106.5625,116.25,125.9375,135.625,145.3125,155,164.6875,174.375,184.0625,193.75,203.4375,213.125,222.8125,232.5,242.1875,251.875,261.5625,271.25,280.9375,290.625,300.3125,310],""values"":[2,5,2,3,3,2,4,6,1,2,2,4,1,3,4,3,3,2,5,1,5,5,2,3,6,1,4,3,2,3,2,6]}","0.011626061052083967","0.9997853636741638","6349","98","3533","20"
"different-sweep-36","pday7v48","finished","71467","100","0.01","10000","{""values"":[4,2,3,2,5,6,3,3,0,4,1,3,4,1,4,6,3,4,0,2,4,4,3,5,3,2,3,1,3,4,4,4],""bins"":[0,9.5625,19.125,28.6875,38.25,47.8125,57.375,66.9375,76.5,86.0625,95.625,105.1875,114.75,124.3125,133.875,143.4375,153,162.5625,172.125,181.6875,191.25,200.8125,210.375,219.9375,229.5,239.0625,248.625,258.1875,267.75,277.3125,286.875,296.4375,306],""_type"":""histogram""}","0.008662892505526543","1.00012469291687","6378","95","3500","27"
"vital-sweep-35","q17s6af6","finished","88773","50","0.1","10000","{""_type"":""histogram"",""bins"":[10,19.15625,28.3125,37.46875,46.625,55.78125,64.9375,74.09375,83.25,92.40625,101.5625,110.71875,119.875,129.03125,138.1875,147.34375,156.5,165.65625,174.8125,183.96875,193.125,202.28125,211.4375,220.59375,229.75,238.90625,248.0625,257.21875,266.375,275.53125,284.6875,293.84375,303],""values"":[2,2,4,1,0,0,1,2,2,1,3,2,4,1,2,1,0,2,0,1,2,2,0,1,3,1,2,1,1,2,2,2]}","0.021317893639206886","1","8032","192","1764","12"
"eager-sweep-34","ujs6z43d","finished","158205","50","0.09","10000","{""bins"":[0,9.5625,19.125,28.6875,38.25,47.8125,57.375,66.9375,76.5,86.0625,95.625,105.1875,114.75,124.3125,133.875,143.4375,153,162.5625,172.125,181.6875,191.25,200.8125,210.375,219.9375,229.5,239.0625,248.625,258.1875,267.75,277.3125,286.875,296.4375,306],""values"":[2,2,0,1,2,3,3,0,3,0,0,2,1,1,3,2,2,2,4,2,1,1,0,1,1,3,1,1,2,0,2,2],""_type"":""histogram""}","0.01969638839364052","1","8098","189","1698","15"
"earnest-sweep-33","4fsw6htc","finished","159076","50","0.08","10000","{""values"":[2,2,4,1,0,0,1,2,2,1,3,2,4,1,2,1,0,2,0,1,2,2,0,1,3,1,2,1,1,2,2,2],""bins"":[10,19.15625,28.3125,37.46875,46.625,55.78125,64.9375,74.09375,83.25,92.40625,101.5625,110.71875,119.875,129.03125,138.1875,147.34375,156.5,165.65625,174.8125,183.96875,193.125,202.28125,211.4375,220.59375,229.75,238.90625,248.0625,257.21875,266.375,275.53125,284.6875,293.84375,303],""_type"":""histogram""}","0.021317893639206886","1","8146","187","1649","18"
"drawn-sweep-32","6kv3yw3x","finished","158430","50","0.07","10000","{""_type"":""histogram"",""bins"":[0,9.53125,19.0625,28.59375,38.125,47.65625,57.1875,66.71875,76.25,85.78125,95.3125,104.84375,114.375,123.90625,133.4375,142.96875,152.5,162.03125,171.5625,181.09375,190.625,200.15625,209.6875,219.21875,228.75,238.28125,247.8125,257.34375,266.875,276.40625,285.9375,295.46875,305],""values"":[1,1,2,0,0,3,1,1,2,0,1,2,1,2,2,4,3,1,1,2,2,1,3,1,1,3,2,2,0,2,1,2]}","0.017560889944434166","0.9963682889938354","8133","199","1658","10"
"electric-sweep-31","a5eqt273","finished","157834","50","0.06","10000","{""values"":[2,2,4,1,0,0,1,2,2,1,3,2,4,1,2,1,0,2,0,1,2,2,0,1,3,1,2,1,1,2,2,2],""_type"":""histogram"",""bins"":[10,19.15625,28.3125,37.46875,46.625,55.78125,64.9375,74.09375,83.25,92.40625,101.5625,110.71875,119.875,129.03125,138.1875,147.34375,156.5,165.65625,174.8125,183.96875,193.125,202.28125,211.4375,220.59375,229.75,238.90625,248.0625,257.21875,266.375,275.53125,284.6875,293.84375,303]}","0.021317893639206886","1","8072","201","1710","17"
"misunderstood-sweep-30","l8dt4tdi","finished","157817","50","0.05","10000","{""bins"":[0,9.5,19,28.5,38,47.5,57,66.5,76,85.5,95,104.5,114,123.5,133,142.5,152,161.5,171,180.5,190,199.5,209,218.5,228,237.5,247,256.5,266,275.5,285,294.5,304],""values"":[1,1,0,0,1,5,2,3,0,2,1,1,0,2,4,3,4,1,0,0,1,2,1,2,2,0,4,1,0,1,3,2],""_type"":""histogram""}","0.016884710639715195","1.0000211000442505","7918","214","1850","18"
"glad-sweep-29","1ipgt0vc","failed","41611","50","0.04","10000","{""bins"":[10,19.375,28.75,38.125,47.5,56.875,66.25,75.625,85,94.375,103.75,113.125,122.5,131.875,141.25,150.625,160,169.375,178.75,188.125,197.5,206.875,216.25,225.625,235,244.375,253.75,263.125,272.5,281.875,291.25,300.625,310],""values"":[2,1,3,1,3,1,1,1,0,2,1,2,2,4,2,1,2,1,1,1,2,0,2,1,3,1,2,1,1,1,3,1],""_type"":""histogram""}","0.023166831582784653","0.9999868869781494","7883","204","1882","31"
